2025-07-26 23:58:14 | INFO | __main__:_on_shutdown:115 | Bot shutdown completed
2025-07-26 23:58:23 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-26 23:58:23 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-26 23:58:23 | INFO | __main__:_on_startup:99 | 🚀 TelegramBot started successfully!
2025-07-26 23:58:23 | INFO | __main__:_on_startup:100 | Bot description: Telegram Bot
2025-07-26 23:58:23 | INFO | __main__:_on_startup:107 | Bot commands set successfully
2025-07-26 23:58:23 | INFO | __main__:run:137 | Starting bot polling...
2025-07-26 23:58:52 | INFO | __main__:_on_shutdown:112 | 🛑 Shutting down bot...
2025-07-26 23:58:52 | INFO | __main__:_on_shutdown:115 | Bot shutdown completed
2025-07-26 23:59:02 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-26 23:59:02 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-26 23:59:02 | INFO | __main__:_on_startup:99 | 🚀 TelegramBot started successfully!
2025-07-26 23:59:02 | INFO | __main__:_on_startup:100 | Bot description: Telegram Bot
2025-07-26 23:59:02 | INFO | __main__:_on_startup:107 | Bot commands set successfully
2025-07-26 23:59:02 | INFO | __main__:run:137 | Starting bot polling...
2025-07-27 00:00:13 | INFO | __main__:_on_shutdown:112 | 🛑 Shutting down bot...
2025-07-27 00:00:13 | INFO | __main__:_on_shutdown:115 | Bot shutdown completed
2025-07-27 00:00:21 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-27 00:00:21 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-27 00:00:21 | INFO | __main__:_on_startup:99 | 🚀 TelegramBot started successfully!
2025-07-27 00:00:21 | INFO | __main__:_on_startup:100 | Bot description: Telegram Bot
2025-07-27 00:00:21 | INFO | __main__:_on_startup:107 | Bot commands set successfully
2025-07-27 00:00:21 | INFO | __main__:run:137 | Starting bot polling...
2025-07-27 00:03:30 | INFO | __main__:_on_shutdown:112 | 🛑 Shutting down bot...
2025-07-27 00:03:30 | INFO | __main__:_on_shutdown:115 | Bot shutdown completed
2025-07-27 00:03:52 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
