2025-07-24 16:46:36 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 16:46:37 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 16:46:37 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 16:46:37 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 16:46:37 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 16:47:28 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 16:47:28 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 16:48:29 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 16:48:29 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 16:48:29 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 16:48:29 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 16:48:29 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 16:48:29 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 16:49:37 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 16:49:37 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 16:56:01 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 16:56:01 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 16:56:01 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 16:56:01 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 16:56:01 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 16:56:01 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 16:56:51 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 16:56:51 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 17:09:01 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 17:09:01 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 17:09:02 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 17:09:02 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 17:09:02 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 17:09:02 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 17:11:02 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 17:11:02 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 17:22:10 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 17:22:10 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 17:22:10 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 17:22:10 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 17:22:10 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 17:22:10 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 17:22:48 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 17:22:48 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 17:22:53 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 17:22:53 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 17:22:53 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 17:22:53 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 17:22:53 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 17:22:53 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 17:25:23 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 17:25:23 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 17:25:28 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 17:25:28 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 17:25:29 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 17:25:29 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 17:25:29 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 17:25:29 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 17:26:18 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 17:26:18 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 17:26:23 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 17:26:23 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 17:26:23 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 17:26:23 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 17:26:23 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 17:26:23 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 17:27:48 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 17:27:48 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 17:27:52 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 17:27:52 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 17:27:53 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 17:27:53 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 17:27:53 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 17:27:53 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 17:30:26 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 17:30:26 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 17:30:31 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 17:30:31 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 17:30:31 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 17:30:31 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 17:30:32 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 17:30:32 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 17:33:42 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 17:33:42 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 17:33:56 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 17:33:56 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 17:33:56 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 17:33:56 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 17:33:56 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 17:33:56 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 17:36:13 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 17:36:13 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 17:36:21 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 17:36:21 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 17:36:21 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 17:36:21 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 17:36:22 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 17:36:22 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 17:36:44 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 17:36:44 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-24 17:38:23 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-24 17:38:23 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-24 17:38:23 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-24 17:38:23 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-24 17:38:23 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-24 17:38:23 | INFO | __main__:run:136 | Starting bot polling...
2025-07-24 17:41:58 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-24 17:41:58 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
